Name,Rating,Time,Review Text
"Hedi Lie","1 bintang","sebulan lalu","Barang pesanan cuma  di konfirmaai tapi tdk di antar,  sebaiknya restrukturisasi karyawan kurir. Karena mereka  gunakan pembatalan utk realisasi target pengiriman."
"Aditya Azdhar Utama","1 bintang","4 bulan lalu","Ekpedisi payah!!!! Bisa bisanya barang salah sortir sudah 1 minggu lebih dari estimasi. Tidak ada tanggung jawab sama sekali. Tidak becus. Kalau tidak bisa bekerja, jangalah kau kerja. Masih banyak diluar sana orang yang lebih baik!!"
"Sanaya Martines","1 bintang","4 bulan lalu","SANGAT DISAYAKAN PERLAKUAN DARI SALAH SATU KURIR YANG MERETUR PESANAN SAYA TANPA ADANYA KONFIRMASI. BAHKAN DENGAN ALASAN SAY TIDAK BISA DI HUBUNGI PADAHAL SAYA SELALU MENANYAKAN TENTANG PAKET SAYA."
"Timang Jontor","1 bintang","4 tahun lalu","Maaf saya mau tanya sudah tiga hari paket saya belum sampai Setelah di lacak....paket telah di terimah Padahal saya belum menerima paketnya.. Jadi bisa fi konfirm masih sama kurir ny..?"
"Arjuna Pinilas","1 bintang","3 minggu lalu","Kurirnya para tidak perna respon, pelayanan sangat tidak memuaskan"
"Nanda Daipaha","1 bintang","7 bulan lalu","Kurir atas Nama mail pengantaran area sario sangat tdk respon. Dia sdh cht saya 2x mau antar pket tapi tak kunjung datang. Saya cht dia juga tdk respon sama sx."
"Novita Lawrince Sumanti","1 bintang","4 tahun lalu","Please boleh minta kontak wa? Barang da pesan dr tgl. 9 Juli, dikirim ke Manado tgl 14, ini tgl 18 masa belum sampe? Penting skali kasiang anak mopake tu barang nntau kurir m antar kapan 😢😢😢 besok qt m ke kantor pusat j&t manado, mo cek sandiri jo.. …"
"Nadia Sumolang","1 bintang","5 tahun lalu","Nintau apa sto ini j&t pe maksud paket so 3 hari di manado mar nda da kejelasan sama skali! Katanya disimpan di gudang j5. Nintau dimana sto tu gudang j5 tu dia. Katanya …"
"Ardhan Fadillah","1 bintang","setahun lalu","Kurir atas nama evan J&T Malalayang sangat tidak respon, paket saya sudah ada info tiba di kantor sampai pengantaran, saya telefon tapi responnya sangat lambat, bikin jengkel"
"Ruth Supit","1 bintang","setahun lalu","Pelayanan yang sangat sangat di bawahh standar,, Sangat lalai dalam bekerja, Sangat lambat dalam bekerja …"
"Indri Nahda naufal","1 bintang","2 tahun lalu","Kurir jnt Manado tidak ada pertanggung jawaban ketika nomer hp penerima tdk bisa di hubungi tidak ada usaha untuk menelepon nomer pengirim, barang asal di kembalikan lagi ke jnt asal padahal kita kirim barang dengan ongkir 106.000. tidak mau usaha cari alamat nya, tetapi asal di kembalikan barang nya .."
"Rara Sakeel","1 bintang","setahun lalu","Sumpah mengecewakan banget dan banget Paketku kenapa tetap transit woyy Jnt kurang ajar Mana responnya udah 2minggu lo"
"Angelia Christy Tengko","5 bintang","11 bulan lalu","jasa kirim paling cepat, paling bagus diantara yang lainnya, paket da pesan dari jkt cma 2-3 hari so sampe, keep up the good work!! semangattr"
"Syahril Serka","1 bintang","2 tahun lalu","Sudah 2 kali pesan paket hanya sampai di Manado tidak pernah di antar ke Amurang lewat 3 hari paket akan dipulang tlg JNT klu ada yg bisa di hubungi agar bisa di distribusikan barang pesanan kami gampang koordinasinya"
"Hidil Lupani","1 bintang","setahun lalu","Jasa kirim paling gk becus,mau ongkir reguler trp aja delay,apalagi ekonomi bisa sebulan paket nyampe,ketika di komplaian alasan selalu sama,bukti bahwa tidak ada evaluasi sama sekali di jasa kirim ini👎👎👎👎 …"
"Hidayati Ratriyo","1 bintang","2 tahun lalu","order barang tgl 24 Desember 2023 langsung di pick up kurir, pengiriman cuma dalam kota. sampe smo tgl 1 Januari 2024 mar masih tabadiam ba foro pa dorang pe drop point situ. CS yg pake jilbab le tu muka pe judes do'. da tanya bae2 so lipa …"
"Quinn Slava Avakin","1 bintang","2 tahun lalu","Klo tau paket tdk akn d kirim k alamat tujuan , mending sdh ambil pilihan pick up sendiri dari awal. lama tnggu  barang , nda ada konfirmasi sma sx , tiba"" mw d return klau tdk ambil langsung d kantor . Bukannya memudahkan , malah mempersulit . Rugi bayar ongkir buat d antr k alamat, mlah d suruh ambil sndri d kantor 🤣 …"
"Teni Toni","1 bintang","2 tahun lalu","J&T skrg tidak kyk dulu lagi.skrg pelayanannya sangat amat buruk khususnya di wilayah manado.status di cek resi pagi hari kurir sedang mengantar sampai malam tidak muncul.tlp pun tidak.padahal kirimannya tanaman .5 hari di dlm paket dus.parah"
"kotakjr","1 bintang","2 tahun lalu","Pelayanan kacau ini. So brp hari setelah paket sampai tapi tidak ada pengantaran. Inisiatif datang sendiri ke lokasi JNT untuk pickup sendiri paket. Ternyata sudah ada. Setelah baca review yang lain ternyata memang kurirnya malas antar. Sangat kecewa dengan pelayanan JNT disini. Not recommended !!!!!!!!"
"Astuti Rapi","1 bintang","2 tahun lalu","Barang so dari tgl 28 januari paket bayar reguler bukan economy smpai tgl 6 februari ndk ada info dari pihak kurir mo antar , posisi barang juga tidak tau dimana. 👎 …"
"ithoy Massoy","1 bintang","2 tahun lalu","oknum kurirnya parah awal wa tidak di respon ,sekali di respon paket di suruh ambil di kantor,setelah ke kantor barang masih di kurir di telp malah tidak di angkat,parah merusak nama baik perusahan,masa paket COD di suruh ambil di kantor"
"Meyka Kimalaha","1 bintang","setahun lalu","Paket dalam perjalan dari pagi, tapi konfirmasi nnti so sore pas sdi tmpa krja srta dtnya m ambe ini hari di gudang itu paket dorang so retur dengan alasan overlod, kg alsan pket di tolak cs, kg tu kurir cuma  bilang pesan ulang Jo,"
"Maria Tewal","1 bintang","2 tahun lalu","mengecewakan skli ni jnt brg ada mo perlu mo pake kurir nda ada pergerakan mo respon chat smo 1 album dg tlpn nda angka padahal ada aktif2,rupa jo org mo tagi utang pa drg dmo tanya dpe penjelasan kua tu barang kapan mo antar nemau rspon."
"Tommy Sumawi","1 bintang","2 tahun lalu","Mmg betul parah pelayananx.. sy datangi kntor pusat aja mau ambil brg sendiri tdk mau bantu di carikan.. dgn alasan belum di sortir.. pdhl di aplikasi di tulis brg sdh tiba dr tgl 15/12.. tp 5 hari blm d antar2.. parahhh"
"baehula ror","1 bintang","2 tahun lalu","nda ada niatan ba effort mo telpon biasa cmn di WhatsApp.. nda semua org punya kuota mungkin terhalang, barang juga belum sampai tapi di retur tanpa konfirmasi saya, sudah di chat juga tapi slow resp dan hanya di read, aduhh.."
"Keren Van Bone","1 bintang","3 tahun lalu","So 2 kali ba beli di lazada kong dapa ekspedisi jnt kong 2 kali itu tape paket nd pernah sampe di rumah, musti mo pgi ambe pa drg pe kantor.  Pe malas skali jadi kurir. Lebeh bae tutup jo ngoni pe kantor kalo ba kerja nd becus. …"
"Alan Stenly","1 bintang","3 tahun lalu","Tolong untuk kurirnya di training dengan baik. Dihubungi untuk bertanya status paket bagaimana tidak diangkat chat tidak dibalas. SDM rendah. Apa lagi kurir yang jalur Banjer ya aktif sejak bulan Mei 2022 ya ampun sulit dijelaskan dengan …"
